SKU_ID,Category,ABC_Class,Supplier_Name,Warehouse_Location,Received_Date,Last_Purchase_Date,Stock_Age_Days,Quantity_On_Hand,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Reorder_Point,Safety_Stock,Lead_Time_Days,Total_Inventory_Value_USD,Supplier_OnTime_Pct,Inventory_Status
SKU_13518,Produce,A,Global Retail Supply,Mumbai Warehouse,2023-10-22 00:00:00,2023-12-05,149,471.0,11,10,31.14,1123.27,80,79,13.0,18142.43,89.82,Overstock
SKU_16688,Beverages,B,Prime Distribution,Mumbai Warehouse,2023-05-21 00:00:00,2023-06-01,283,622.0,1,6,30.62,1117.26,119,35,8.0,31349.86,91.7,Low Stock
SKU_13276,Bakery,C,NextGen Traders,Mumbai Warehouse,2023-05-14 00:00:00,2023-07-14,62,537.0,6,3,33.55,1000.8539396887159,79,54,9.0,37079.83,98.44,Critical
SKU_13891,Household,B,FreshMart Suppliers,Chennai Warehouse,2025-02-03 00:00:00,2025-03-06,296,538.0,10,1,24.53,680.96,140,53,10.0,32036.76,82.24,Normal
SKU_15192,Produce,C,Global Retail Supply,Bangalore Warehouse,2023-08-03 00:00:00,2023-09-05,179,575.0,1,15,48.97,1013.6,101,37,13.0,68235.33,97.43,Normal
SKU_10469,Produce,B,Metro Supply Co,Bangalore Warehouse,2024-11-23 00:00:00,2025-02-16,26,525.0,2,14,31.7,946.35,113,47,9.0,9804.7,96.57,Critical
SKU_14241,Household,B,Global Retail Supply,Chennai Warehouse,2024-01-02 00:00:00,2024-04-19,37,380.0,0,9,56.33,1601.9,108,30,12.0,7313.47,83.08,Normal
SKU_16536,Personal Care,B,NextGen Traders,Kolkata Warehouse,2023-07-21 00:00:00,2023-09-29,75,345.0,19,8,32.43,1104.87,75,41,8.0,14307.69,83.86,Critical
SKU_14224,Snacks,B,FreshMart Suppliers,Kolkata Warehouse,2025-02-17 00:00:00,2025-04-08,199,346.0,14,18,46.16,1291.19,119,85,15.0,39292.3,85.93,Low Stock
SKU_11022,Produce,A,FreshMart Suppliers,Delhi Warehouse,2024-02-02 00:00:00,2024-05-24,333,373.0,0,12,27.25,796.94,94,51,10.0,10271.42,89.92,Normal
SKU_16622,Household,C,Metro Supply Co,Mumbai Warehouse,2023-02-05 00:00:00,2023-04-02,298,265.0,2,7,34.67,1365.22,141,89,12.0,29404.96,93.95,Critical
SKU_14778,Personal Care,A,FreshMart Suppliers,Kolkata Warehouse,2023-12-12 00:00:00,2024-03-22,305,528.0,9,4,44.4,1346.28,127,65,7.0,38372.65,90.22,Low Stock
SKU_14157,Dairy,B,FreshMart Suppliers,Delhi Warehouse,2024-08-05 00:00:00,2024-11-26,376,390.0,6,12,35.82,1299.71,89,76,7.0,37686.68,83.9,Critical
SKU_12548,Dairy,C,Metro Supply Co,Mumbai Warehouse,2025-04-16 00:00:00,2025-04-19,7,473.0,11,10,33.21,1325.98,126,52,8.0,23154.5,89.89,Overstock
SKU_13199,Bakery,C,NextGen Traders,Delhi Warehouse,2025-04-07 00:00:00,2025-07-30,39,364.0,13,1,30.45,1165.38,152,51,3.0,33116.09,97.44,Overstock
SKU_15105,Snacks,B,NextGen Traders,Delhi Warehouse,2023-12-09 00:00:00,2024-01-20,227,476.0,10,10,41.59,1496.62,148,44,8.0,21215.64,96.24,Overstock
SKU_11760,Personal Care,B,Prime Distribution,Mumbai Warehouse,2024-12-20 00:00:00,2025-01-21,168,494.0,14,0,30.87,1104.75,148,65,6.0,52008.96,91.18,Critical
SKU_13481,Dairy,C,Prime Distribution,Chennai Warehouse,2023-11-05 00:00:00,2023-11-21,256,492.0,1,8,37.05,1320.64,129,70,9.0,54587.0,98.76,Overstock
SKU_16654,Bakery,C,FreshMart Suppliers,Kolkata Warehouse,2023-08-08 00:00:00,2023-10-03,152,457.0,14,6,32.23,656.58,119,94,11.0,42486.2,91.08,Normal
SKU_14039,Produce,A,Global Retail Supply,Mumbai Warehouse,2024-07-21 00:00:00,2024-11-12,175,462.0,11,15,31.19,666.08,114,64,12.0,54308.92,90.83,Low Stock
SKU_15216,Dairy,C,FreshMart Suppliers,Bangalore Warehouse,2023-10-18 00:00:00,2023-12-30,232,429.0,12,0,26.73,797.4016634241245,135,27,11.0,38890.25,95.07,Normal
SKU_15957,Personal Care,A,NextGen Traders,Delhi Warehouse,2023-08-11 00:00:00,2023-10-02,160,389.0,16,16,35.7,763.21,192,48,9.0,32174.45,95.08,Normal
SKU_14817,Household,B,NextGen Traders,Chennai Warehouse,2023-02-22 00:00:00,2023-05-15,130,361.0,0,9,36.26,1366.0,62,46,4.0,11716.11,94.28,Low Stock
SKU_14078,Dairy,B,Global Retail Supply,Kolkata Warehouse,2024-10-21 00:00:00,2024-11-19,77,270.0,8,5,40.52,963.07,109,5,21.0,30560.19,97.85,Low Stock
SKU_10544,Beverages,B,FreshMart Suppliers,Bangalore Warehouse,2023-07-08 00:00:00,2023-10-26,120,498.0,14,4,39.2,1169.403112840467,94,61,6.0,33033.53,84.78,Critical
SKU_16628,Produce,C,NextGen Traders,Bangalore Warehouse,2023-01-18 00:00:00,2023-01-24,86,375.0,7,9,33.36,1122.81,110,46,14.0,8238.62,85.99,Critical
SKU_14125,Bakery,B,Metro Supply Co,Chennai Warehouse,2024-10-28 00:00:00,2024-10-30,333,143.0,10,4,36.91,974.47,130,26,9.0,2727.7,82.03,Overstock
SKU_11483,Household,C,Prime Distribution,Kolkata Warehouse,2025-01-27 00:00:00,2025-02-26,171,533.0,5,8,31.65,1065.98,115,35,8.0,52419.42,90.32,Critical
SKU_13011,Snacks,A,NextGen Traders,Delhi Warehouse,2023-04-22 00:00:00,2023-04-28,380,459.0,17,4,51.74,1116.18,113,90,9.0,21583.11,94.82,Low Stock
SKU_11197,Household,C,NextGen Traders,Delhi Warehouse,2024-03-21 00:00:00,2024-04-28,170,447.0,10,9,35.93,1235.95,157,62,5.0,48179.03,86.61,Low Stock
SKU_12795,Personal Care,A,Global Retail Supply,Bangalore Warehouse,2024-12-20 00:00:00,2025-02-27,68,555.0,6,7,35.04,1112.75,127,60,8.0,60911.19,95.63,Normal
SKU_10503,Household,B,NextGen Traders,Delhi Warehouse,2023-05-09 00:00:00,2023-07-11,392,120.0,5,14,29.18,719.39,84,56,16.0,14175.71,95.41,Normal
SKU_16480,Household,C,Metro Supply Co,Kolkata Warehouse,2023-01-26 00:00:00,2023-05-08,331,374.0,15,8,15.02,559.92,77,68,13.0,27687.35,97.72,Critical
SKU_12002,Bakery,B,Metro Supply Co,Chennai Warehouse,2023-09-08 00:00:00,2023-10-24,306,379.0,9,11,39.51,1038.9,107,57,9.0,15349.6,85.39,Low Stock
SKU_10561,Personal Care,B,Metro Supply Co,Bangalore Warehouse,2023-04-22 00:00:00,2023-07-05,252,475.0,4,8,41.72,1443.29,165,77,12.0,39024.01,98.78,Overstock
SKU_10535,Household,B,Prime Distribution,Delhi Warehouse,2024-07-28 00:00:00,2024-11-24,161,398.0,0,8,49.29,1688.15,75,48,10.0,8777.79,97.68,Normal
SKU_12022,Personal Care,A,Urban Wholesale,Mumbai Warehouse,2024-03-24 00:00:00,2024-07-16,24,489.0,8,15,42.42,1091.08,157,48,13.0,32035.98,85.2,Low Stock
SKU_16115,Dairy,A,FreshMart Suppliers,Chennai Warehouse,2023-02-18 00:00:00,2023-05-22,308,470.0,12,1,38.39,790.11,110,42,12.0,43334.75,84.55,Overstock
SKU_11002,Snacks,A,FreshMart Suppliers,Mumbai Warehouse,2024-05-03 00:00:00,2024-08-19,77,382.0,12,7,26.46,843.51,158,61,16.0,13039.06,84.5,Critical
SKU_12308,Bakery,C,FreshMart Suppliers,Bangalore Warehouse,2023-09-26 00:00:00,2023-12-22,330,338.0,13,8,28.14,803.31,109,58,5.0,16589.69,90.37,Low Stock
SKU_11902,Household,B,FreshMart Suppliers,Bangalore Warehouse,2025-04-15 00:00:00,2025-06-11,234,501.0,11,17,39.04,1504.61,115,42,7.0,45028.96,88.69,Critical
SKU_12662,Snacks,C,Prime Distribution,Kolkata Warehouse,2025-01-09 00:00:00,2025-01-14,125,276.0,7,9,35.42,1125.88,117,98,12.0,19785.06,92.12,Normal
SKU_14678,Produce,B,Metro Supply Co,Chennai Warehouse,2023-11-17 00:00:00,2024-02-07,79,605.0,15,2,34.15,994.57,163,55,9.0,42610.75,86.54,Normal
SKU_15755,Beverages,B,Prime Distribution,Delhi Warehouse,2023-05-20 00:00:00,2023-08-20,235,386.0,7,9,21.36,659.49,144,48,16.0,11707.55,87.48,Overstock
SKU_12948,Bakery,A,Prime Distribution,Delhi Warehouse,2024-04-12 00:00:00,2024-06-08,110,571.0,18,4,44.38,1416.74,74,68,9.0,37557.82,94.87,Critical
SKU_15300,Personal Care,B,Global Retail Supply,Kolkata Warehouse,2023-05-02 00:00:00,2023-05-17,169,491.0,9,8,18.13,638.56,139,52,7.0,50748.0,89.57,Normal
SKU_11372,Household,A,NextGen Traders,Chennai Warehouse,2024-01-26 00:00:00,2024-04-25,164,522.0,17,0,39.34,1160.06,77,69,10.0,54507.81,85.11,Overstock
SKU_15310,Bakery,C,Metro Supply Co,Chennai Warehouse,2024-03-16 00:00:00,2024-03-27,77,593.0,6,4,32.66,1154.36,108,60,9.0,10685.93,92.19,Overstock
SKU_10132,Personal Care,A,Global Retail Supply,Chennai Warehouse,2023-12-20 00:00:00,2024-02-14,274,563.0,2,5,38.77,861.38,166,58,8.0,49081.34,90.685,Normal
SKU_14456,Frozen Foods,A,Prime Distribution,Bangalore Warehouse,2024-07-26 00:00:00,2024-09-02,301,693.0,11,6,42.95,1109.46,96,17,11.0,24755.09,90.63,Low Stock
SKU_12688,Personal Care,B,NextGen Traders,Mumbai Warehouse,2025-03-18 00:00:00,2025-04-14,117,607.0,12,6,27.02,735.96,98,48,16.0,29743.45,97.98,Overstock
SKU_12770,Beverages,A,NextGen Traders,Bangalore Warehouse,2023-06-22 00:00:00,2023-07-30,84,689.0,12,12,53.04,1867.83,95,22,11.0,51247.95,96.5,Low Stock
SKU_11617,Bakery,A,Metro Supply Co,Kolkata Warehouse,2023-08-14 00:00:00,2023-10-10,253,324.0,11,10,36.43,1387.84,168,69,12.0,6398.63,85.99,Low Stock
SKU_16500,Produce,C,Urban Wholesale,Kolkata Warehouse,2023-09-04 00:00:00,2023-10-20,318,215.0,6,16,43.54,1684.15,87,64,7.0,14705.33,92.82,Critical
SKU_10982,Frozen Foods,B,Global Retail Supply,Bangalore Warehouse,2025-01-09 00:00:00,2025-04-15,325,258.0,5,10,27.67,934.2,110,27,10.0,29529.89,86.37,Overstock
SKU_15566,Personal Care,C,Global Retail Supply,Bangalore Warehouse,2023-07-09 00:00:00,2023-09-14,45,358.0,0,4,45.74,1065.38,93,25,6.0,9889.85,83.93,Normal
SKU_13347,Beverages,A,FreshMart Suppliers,Mumbai Warehouse,2023-06-21 00:00:00,2023-09-05,270,502.0,15,11,40.38,1081.16,73,50,12.0,52794.1,85.28,Low Stock
SKU_10217,Produce,A,Metro Supply Co,Chennai Warehouse,2023-12-02 00:00:00,2024-03-21,303,642.0,16,10,32.74,995.52,91,52,13.0,19167.86,90.38,Normal
SKU_14216,Bakery,B,Urban Wholesale,Kolkata Warehouse,2024-05-16 00:00:00,2024-08-23,264,352.0,8,10,22.53,848.63,122,52,7.0,16807.08,92.9,Overstock
SKU_12916,Personal Care,C,Metro Supply Co,Delhi Warehouse,2023-03-24 00:00:00,2023-04-27,43,283.0,3,4,38.48,1063.59,135,72,5.0,8978.76,82.47,Low Stock
SKU_14510,Beverages,C,Prime Distribution,Kolkata Warehouse,2025-03-19 00:00:00,2025-07-05,223,563.0,9,8,27.02,829.46,68,95,3.0,13254.94,92.6,Normal
SKU_14482,Personal Care,B,NextGen Traders,Kolkata Warehouse,2025-04-08 00:00:00,2025-07-18,342,346.0,10,6,26.17,941.75,154,57,8.0,27181.4,91.6,Critical
SKU_11509,Bakery,A,Metro Supply Co,Mumbai Warehouse,2024-09-05 00:00:00,2024-11-11,20,401.0,21,2,47.89,1428.6406906614786,139,50,14.0,38839.3,89.36,Low Stock
SKU_12825,Bakery,B,Prime Distribution,Chennai Warehouse,2023-03-26 00:00:00,2023-06-03,213,419.0,15,9,30.97,1186.63,122,69,10.0,36687.55,94.83,Overstock
SKU_11872,Bakery,B,Urban Wholesale,Mumbai Warehouse,2023-03-18 00:00:00,2023-04-30,347,463.0,0,0,43.19,880.68,103,40,13.0,40874.21,89.41,Normal
SKU_13519,Dairy,B,Prime Distribution,Chennai Warehouse,2023-09-09 00:00:00,2023-09-20,49,450.0,7,1,35.86,1154.4,79,30,9.0,28455.26,86.23,Overstock
SKU_13317,Household,A,Global Retail Supply,Delhi Warehouse,2024-11-24 00:00:00,2025-02-19,360,233.0,15,8,33.99,1031.86,101,44,10.0,9367.69,85.59,Normal
SKU_16296,Bakery,A,Global Retail Supply,Mumbai Warehouse,2024-08-14 00:00:00,2024-10-30,181,593.0,12,11,24.7,983.02,127,76,7.0,49577.44,91.0,Low Stock
SKU_10230,Snacks,B,Urban Wholesale,Mumbai Warehouse,2024-03-02 00:00:00,2024-05-13,174,384.0,2,11,34.22,1047.13,114,123,10.0,22125.6,86.33,Low Stock
SKU_12619,Personal Care,C,Urban Wholesale,Delhi Warehouse,2023-05-22 00:00:00,2023-09-13,30,305.0,8,6,26.97,967.56,174,103,8.0,10204.68,95.97,Critical
SKU_12985,Frozen Foods,A,Metro Supply Co,Mumbai Warehouse,2024-01-10 00:00:00,2024-02-13,311,105.0,2,8,47.28,1507.19,79,61,8.0,11773.65,85.75,Overstock
SKU_14715,Beverages,B,FreshMart Suppliers,Chennai Warehouse,2023-11-04 00:00:00,2023-12-23,64,320.0,11,9,37.27,1111.8279085603115,101,55,14.0,13989.64,86.77,Normal
SKU_14235,Bakery,B,Global Retail Supply,Mumbai Warehouse,2023-06-10 00:00:00,2023-07-18,161,259.0,7,4,45.57,1550.95,175,66,11.0,17890.84,98.9,Low Stock
SKU_12347,Dairy,A,NextGen Traders,Mumbai Warehouse,2024-01-17 00:00:00,2024-04-01,346,264.0,12,13,29.35,769.21,138,29,10.0,26741.31,98.45,Overstock
SKU_16037,Personal Care,C,NextGen Traders,Mumbai Warehouse,2023-07-14 00:00:00,2023-07-26,124,272.0,8,2,39.09,1012.88,59,50,9.0,14135.82,97.9,Critical
SKU_14672,Beverages,B,Global Retail Supply,Chennai Warehouse,2024-02-17 00:00:00,2024-04-08,236,419.0,17,10,31.49,860.48,99,76,10.0,42803.31,91.64,Overstock
SKU_12298,Personal Care,A,NextGen Traders,Delhi Warehouse,2023-11-03 00:00:00,2023-11-21,146,433.0,11,1,16.93,656.44,124,75,7.0,39391.07,88.61,Critical
SKU_15411,Personal Care,B,Urban Wholesale,Bangalore Warehouse,2024-08-05 00:00:00,2024-09-03,78,566.0,8,9,49.88,1862.14,165,42,10.0,61783.06,84.67,Critical
SKU_13315,Bakery,C,Metro Supply Co,Bangalore Warehouse,2023-07-31 00:00:00,2023-10-31,313,330.0,17,19,31.41,719.58,68,62,9.0,33672.73,85.37,Low Stock
SKU_13309,Frozen Foods,C,Prime Distribution,Mumbai Warehouse,2024-07-10 00:00:00,2024-10-07,22,557.0,15,11,40.2,1273.59,82,72,10.0,18126.25,85.53,Overstock
SKU_10179,Frozen Foods,B,Metro Supply Co,Bangalore Warehouse,2023-05-08 00:00:00,2023-07-14,368,464.0,16,3,51.73,1192.91,132,45,9.0,16144.89,87.49,Normal
SKU_10473,Produce,C,Urban Wholesale,Bangalore Warehouse,2024-01-06 00:00:00,2024-03-25,142,473.0,20,3,31.39,1168.86,132,58,7.0,17543.36,86.47,Low Stock
SKU_13830,Household,C,FreshMart Suppliers,Kolkata Warehouse,2023-09-03 00:00:00,2023-12-22,138,159.0,2,4,24.92,499.45,103,39,5.0,10398.79,95.76,Low Stock
SKU_10321,Beverages,A,Metro Supply Co,Chennai Warehouse,2023-04-05 00:00:00,2023-07-30,241,260.0,9,11,33.72,1245.8,165,30,9.0,26131.69,84.08,Critical
SKU_11871,Household,C,Metro Supply Co,Chennai Warehouse,2024-04-13 00:00:00,2024-07-29,147,338.0,10,8,37.64,1318.6,76,62,5.0,37663.99,82.06,Critical
SKU_15948,Frozen Foods,C,Urban Wholesale,Mumbai Warehouse,2024-06-04 00:00:00,2024-09-05,184,419.0,3,11,41.05,1626.31,116,95,8.0,49933.45,94.74,Overstock
SKU_16144,Frozen Foods,C,NextGen Traders,Delhi Warehouse,2024-05-11 00:00:00,2024-08-02,385,266.0,12,12,29.18,946.34,72,51,10.0,21396.15,96.27,Normal
SKU_14773,Frozen Foods,B,Prime Distribution,Delhi Warehouse,2024-01-07 00:00:00,2024-04-25,81,393.0,9,10,43.12,1314.71,147,95,11.0,21041.48,96.37,Normal
SKU_14902,Beverages,A,Prime Distribution,Kolkata Warehouse,2024-06-14 00:00:00,2024-06-28,371,257.0,9,6,25.24,591.01,88,63,12.0,16637.09,82.76,Normal
SKU_11339,Frozen Foods,C,Metro Supply Co,Kolkata Warehouse,2025-01-08 00:00:00,2025-02-16,164,459.0,5,3,14.35,287.1,156,52,10.0,20028.73,91.45,Normal
SKU_14742,Produce,B,Metro Supply Co,Delhi Warehouse,2024-02-22 00:00:00,2024-03-25,272,269.0,12,4,39.08,1033.07,153,67,14.0,19314.14,93.77,Overstock
SKU_10932,Produce,A,Metro Supply Co,Kolkata Warehouse,2024-02-20 00:00:00,2024-06-04,276,554.0,11,6,34.59,1176.57,120,43,9.0,32224.66,95.9,Normal
SKU_11672,Frozen Foods,B,Prime Distribution,Chennai Warehouse,2025-02-04 00:00:00,2025-02-10,177,481.0,13,4,41.22,1508.31,153,58,16.0,39590.51,95.23,Critical
SKU_15125,Frozen Foods,C,Metro Supply Co,Mumbai Warehouse,2024-12-26 00:00:00,2025-02-09,263,188.0,14,3,46.22,1848.08,179,30,9.0,9558.7,86.09,Overstock
SKU_14845,Frozen Foods,C,Prime Distribution,Bangalore Warehouse,2023-10-14 00:00:00,2023-12-07,101,453.0,20,12,35.43,1352.63,138,54,9.0,40227.33,92.43,Normal
SKU_11557,Personal Care,C,Global Retail Supply,Delhi Warehouse,2024-10-08 00:00:00,2025-01-02,371,375.0,5,5,19.86,526.9,136,58,4.0,12701.64,93.59,Normal
SKU_10334,Frozen Foods,C,Metro Supply Co,Mumbai Warehouse,2025-02-28 00:00:00,2025-05-12,318,420.0,6,10,39.21,809.59,134,49,3.0,33366.33,97.66,Critical
SKU_15008,Dairy,A,Urban Wholesale,Bangalore Warehouse,2024-01-29 00:00:00,2024-03-10,139,669.0,11,9,23.55,835.99,132,73,13.0,56654.05,86.15,Critical
SKU_12845,Produce,B,Metro Supply Co,Bangalore Warehouse,2023-02-20 00:00:00,2023-05-22,335,415.0,16,4,35.61,855.52,69,21,11.0,13640.33,82.79,Critical
SKU_12742,Personal Care,B,FreshMart Suppliers,Bangalore Warehouse,2023-04-26 00:00:00,2023-07-12,217,303.0,14,11,58.97,1647.36,134,74,8.0,21891.8,89.17,Critical
SKU_15070,Frozen Foods,C,Global Retail Supply,Delhi Warehouse,2023-08-10 00:00:00,2023-11-21,296,578.0,14,5,48.98,1461.1572568093384,123,81,13.0,36909.11,85.0,Critical
SKU_11600,Snacks,A,FreshMart Suppliers,Bangalore Warehouse,2025-02-25 00:00:00,2025-04-09,303,528.0,2,5,33.79,890.92,160,59,11.0,16167.44,91.8,Overstock
SKU_13918,Household,A,NextGen Traders,Mumbai Warehouse,2025-01-09 00:00:00,2025-05-02,180,648.0,8,10,12.37,306.21,82,61,6.0,47509.98,96.35,Normal
SKU_10681,Dairy,B,Metro Supply Co,Kolkata Warehouse,2025-04-18 00:00:00,2025-05-05,190,389.0,15,11,35.15,1352.16,90,72,10.0,26028.32,87.3,Overstock
SKU_13563,Household,B,Global Retail Supply,Kolkata Warehouse,2025-01-20 00:00:00,2025-05-01,235,488.0,11,9,37.55,892.26,128,56,9.0,38227.71,96.53,Overstock
SKU_16200,Beverages,A,Global Retail Supply,Mumbai Warehouse,2024-04-03 00:00:00,2024-06-15,28,381.0,10,2,33.12,974.4,171,73,13.0,22469.77,98.0,Normal
SKU_15138,Beverages,C,Global Retail Supply,Kolkata Warehouse,2024-10-10 00:00:00,2024-11-24,27,499.0,6,20,29.82,967.98,123,51,8.0,22284.03,82.17,Overstock
SKU_14864,Beverages,A,Urban Wholesale,Bangalore Warehouse,2023-05-12 00:00:00,2023-05-26,305,472.0,13,1,37.82,841.47,96,67,9.0,33014.16,87.23,Normal
SKU_13256,Snacks,C,Prime Distribution,Mumbai Warehouse,2025-01-30 00:00:00,2025-03-07,322,289.0,19,10,54.22,1470.52,145,33,11.0,34648.64,83.91,Low Stock
SKU_16301,Personal Care,A,Prime Distribution,Mumbai Warehouse,2025-04-02 00:00:00,2025-06-04,149,493.0,10,12,54.47,1433.72,130,48,11.0,56676.79,95.97,Low Stock
SKU_13785,Bakery,B,Global Retail Supply,Mumbai Warehouse,2023-03-23 00:00:00,2023-04-14,309,684.0,14,4,26.12,775.78,148,18,9.0,25120.78,84.08,Normal
SKU_15856,Bakery,C,Global Retail Supply,Chennai Warehouse,2023-08-16 00:00:00,2023-09-18,204,358.0,9,10,40.9,1377.98,142,30,13.0,13693.8,94.39,Normal
SKU_12758,Snacks,A,Prime Distribution,Bangalore Warehouse,2024-05-30 00:00:00,2024-06-28,125,448.0,15,13,22.48,603.25,88,44,5.0,27306.49,98.45,Low Stock
SKU_13123,Frozen Foods,A,Metro Supply Co,Chennai Warehouse,2023-04-18 00:00:00,2023-07-09,29,543.0,2,3,37.78,1440.45,190,84,9.0,27960.54,88.7,Overstock
SKU_13773,Frozen Foods,A,Urban Wholesale,Chennai Warehouse,2024-08-07 00:00:00,2024-10-08,79,661.0,10,7,48.84,1751.16,129,62,6.0,37316.34,91.61,Low Stock
SKU_13151,Frozen Foods,C,Global Retail Supply,Kolkata Warehouse,2023-04-28 00:00:00,2023-06-16,356,267.0,8,9,28.95,684.56,145,42,12.0,6818.2,93.03,Normal
SKU_16424,Bakery,B,Prime Distribution,Mumbai Warehouse,2023-11-05 00:00:00,2023-11-26,121,319.0,11,17,13.03,361.24,104,75,13.0,19385.25,87.03,Overstock
